px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
0	0	0	0	0	0	0	0	0	0	0	4.32636e-309
0.0451514	0	0	0	0	0	0	0	0	0	0	1.76522
1.55941	-0.135454	1.51459	-6.93889e-17	2.77556e-17	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339	0.0210515
1.63242	0.0205544	2.16078	-0.045952	-0.0290068	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339	2.82128
3.88267	-0.129311	2.79496	-0.157083	-0.138689	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323	0.648853
3.95286	0.0724005	3.17291	0.0679976	0.0718494	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323	4.19983
6.85742	0.415129	3.9138	0.222452	0.0592832	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847	0.420585
6.76939	0.441753	2.88166	0.272667	0.148798	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847	2.09318
9.06653	0.595248	3.34139	-0.213375	-0.345583	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526	0.414762
9.03085	0.660701	2.98918	-0.218913	-0.374279	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526	1.27834
11.572	1.65335	2.68096	0.527807	0.313882	11.5756	1.6669	11.3468	1.427	2.49328	0.600781	1.29912
11.5479	1.61542	2.77192	0.477463	0.265799	11.4447	1.42958	11.3468	1.427	2.49328	0.600781	0.529739
13.5908	2.3195	2.52091	0.327223	-0.00578399	13.5921	2.31191	13.827	2.07905	2.5429	0.724947	0.248963
13.6088	2.28718	2.67642	0.305729	-0.034101	13.6572	1.99915	13.827	2.07905	2.5429	0.724947	0.628703
16.6225	2.90229	3.84263	0.0126751	-0.200635	16.6456	2.903	16.3554	2.85243	2.58284	0.844365	1.04177
16.5428	2.88187	3.15512	-0.0406745	-0.28553	16.282	2.84648	16.3554	2.85243	2.58284	0.844365	1.5966
19.0113	3.6956	2.94763	0.380699	0.163089	19.0106	3.70555	18.923	3.74161	2.61382	0.95648	0.598557
19.0783	3.71872	2.77441	0.434376	0.215413	19.363	3.87122	18.923	3.74161	2.61382	0.95648	1.384
21.3245	4.73278	3.05632	0.431333	0.0739985	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891	0.116363
21.3794	4.74239	3.06231	0.419368	0.0719689	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891	0.775125
24.0674	5.56985	3.54862	0.185391	-0.122916	24.0787	5.56967	24.1437	5.83295	2.65286	1.14953	0.293404
24.1643	5.59824	3.37009	0.155943	-0.149386	24.5601	5.92334	24.1437	5.83295	2.65286	1.14953	3.0553
26.6078	6.95283	3.27175	0.630606	0.247989	26.6052	6.96102	26.7833	7.01246	2.6632	1.22647	0.445846
26.5943	6.94714	3.34279	0.617346	0.229936	26.5419	6.90075	26.7833	7.01246	2.6632	1.22647	0.0614403
29.5718	8.08818	3.75723	0.242866	-0.163931	29.5864	8.08789	29.4352	8.26299	2.66893	1.28822	0.703226
29.5471	8.07567	3.33976	0.227957	-0.185081	29.4716	8.24519	29.4352	8.26299	2.66893	1.28822	0.430252
31.9441	9.8694	3.32321	0.834185	0.321658	31.9416	9.88017	32.0955	9.56901	2.67105	1.33358	0.714994
31.8993	9.84715	3.35116	0.813246	0.296328	31.7928	9.49891	32.0955	9.56901	2.67105	1.33358	0.669278
34.609	10.7127	2.52872	0.186482	-0.305595	34.6157	10.6988	34.7608	10.9139	2.67035	1.3617	1.34932
34.7151	10.7662	3.05766	0.181232	-0.276523	35.0599	10.9953	34.7608	10.9139	2.67035	1.3617	2.77883
37.1392	12.0776	3.15037	0.619437	0.179678	37.1404	12.0883	37.4287	12.2803	2.66736	1.37209	0.593673
37.2166	12.1031	3.32557	0.617556	0.169037	37.4973	12.2943	37.4287	12.2803	2.66736	1.37209	1.49717
40.3101	13.4632	4.10819	0.260211	-0.174594	40.3285	13.4666	40.0971	13.6505	2.66232	1.36459	0.8414
40.2302	13.4283	3.36368	0.212045	-0.239033	39.9009	13.6243	40.0971	13.6505	2.66232	1.36459	1.84864
42.7677	14.8207	3.34994	0.596796	0.163227	42.7664	14.8294	42.7638	15.0065	2.65515	1.33938	0.457054
